MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
12,16,	0.298872,	0.231017,	0.082732,	0.170312,	0.942917
12,17,	0.294980,	0.233190,	0.050942,	0.168897,	0.941924
12,18,	0.316502,	0.242464,	0.102574,	0.168502,	0.967258
12,19,	0.291937,	0.146004,	0.129194,	0.173055,	0.957806
12,20,	0.291705,	0.271496,	0.088370,	0.162889,	0.942438
12,21,	0.298202,	0.287863,	0.096893,	0.169920,	1.007107
12,22,	0.298843,	0.233192,	0.132740,	0.168650,	0.987305
12,23,	0.302658,	0.270122,	0.173159,	0.166571,	0.995162
12,24,	0.296604,	0.274483,	0.070004,	0.167100,	1.013482
13,1,	0.477952,	0.364152,	0.049453,	0.396180,	2.641799
13,2,	0.359050,	0.196167,	0.049001,	0.264539,	1.686739
13,3,	0.377193,	0.215279,	0.062438,	0.245852,	1.550744
13,4,	0.417991,	0.204881,	0.056329,	0.264663,	1.504751
13,5,	0.511204,	0.275948,	0.061617,	0.272063,	1.575969
13,6,	0.544051,	0.270940,	0.062203,	0.321688,	1.618713
13,7,	0.739106,	0.290962,	0.111856,	0.348308,	1.896674
13,8,	0.900751,	0.340934,	0.135615,	0.405543,	2.161666
13,9,	0.898591,	0.356543,	0.077450,	0.414218,	2.246927
13,10,	0.985796,	0.385181,	0.076133,	0.504063,	2.481905
13,11,	1.028525,	0.362660,	0.164966,	0.529209,	2.556758
13,12,	1.195380,	0.493944,	0.078698,	0.522008,	2.719604
13,13,	0.321566,	0.189662,	0.056551,	0.174144,	1.226918
13,14,	0.309496,	0.222556,	0.072443,	0.176429,	1.211219
13,15,	0.315389,	0.235421,	0.050670,	0.175882,	1.234102
13,16,	0.315302,	0.226458,	0.056171,	0.168577,	1.210023
13,17,	0.306736,	0.241219,	0.057712,	0.165040,	1.235305
13,18,	0.314482,	0.238130,	0.091284,	0.172132,	1.193086
13,19,	0.316827,	0.277152,	0.059077,	0.175406,	1.274694
13,20,	0.326570,	0.266676,	0.061203,	0.171712,	1.270222
13,21,	0.329057,	0.285927,	0.090538,	0.168203,	1.217608
13,22,	0.322038,	0.348603,	0.050483,	0.165659,	1.233758
13,23,	0.322532,	0.238495,	0.053485,	0.164454,	1.251373
13,24,	0.315393,	0.269544,	0.087772,	0.167220,	1.242324
14,1,	0.479805,	0.364496,	0.049585,	0.400278,	1.734054
14,2,	0.358752,	0.222730,	0.048648,	0.253815,	1.170057
14,3,	0.381673,	0.263564,	0.048500,	0.252057,	1.141999
14,4,	0.430310,	0.247118,	0.075444,	0.281168,	1.195713
14,5,	0.500531,	0.252527,	0.074377,	0.300530,	1.307020
14,6,	0.589878,	0.293947,	0.077622,	0.310708,	1.457293
14,7,	0.868338,	0.281949,	0.074799,	0.384870,	1.796748
14,8,	0.917142,	0.395094,	0.086349,	0.426190,	1.992733
14,9,	1.026245,	0.396542,	0.078825,	0.480403,	2.160388
14,10,	1.071930,	0.409937,	0.063394,	0.480509,	2.294015
14,11,	1.122678,	0.419711,	0.074766,	0.543818,	2.422771
14,12,	1.338280,	0.387405,	0.125890,	0.570703,	2.645599
14,13,	0.323034,	0.261657,	0.054653,	0.172651,	0.935833
14,14,	0.307133,	0.237503,	0.081088,	0.172230,	0.933328
14,15,	0.314656,	0.224606,	0.054613,	0.187052,	0.948519
14,16,	0.332551,	0.275075,	0.063615,	0.171232,	0.981528
14,17,	0.309175,	0.276460,	0.050071,	0.181612,	0.965707
14,18,	0.305741,	0.246572,	0.092058,	0.170662,	0.992803
14,19,	0.318249,	0.271089,	0.099934,	0.171468,	0.971191
14,20,	0.309262,	0.345920,	0.052033,	0.170753,	0.975079
14,21,	0.315239,	0.279842,	0.053668,	0.170626,	0.972420
14,22,	0.317273,	0.355666,	0.076310,	0.168861,	0.973887
14,23,	0.310338,	0.267020,	0.052601,	0.173152,	0.989936
14,24,	0.310119,	0.332055,	0.057343,	0.169536,	1.006652
15,1,	0.478415,	0.364347,	0.049491,	0.394007,	1.728496
15,2,	0.368187,	0.253198,	0.051793,	0.275494,	1.165500
15,3,	0.410995,	0.273859,	0.061728,	0.262717,	1.223583
15,4,	0.513606,	0.315877,	0.049624,	0.286104,	1.313830
15,5,	0.674998,	0.290953,	0.053438,	0.348640,	1.579032
15,6,	0.868935,	0.357924,	0.058270,	0.378819,	1.787739
15,7,	0.891982,	0.369330,	0.066387,	0.408648,	1.907584
15,8,	0.980898,	0.442601,	0.087927,	0.472311,	2.147057
15,9,	1.043941,	0.558933,	0.064731,	0.496433,	2.286029
15,10,	1.176082,	0.345980,	0.168866,	0.572074,	2.563846
15,11,	1.272056,	0.483931,	0.121913,	0.644556,	2.728818
15,12,	1.377767,	0.458721,	0.142698,	0.646829,	2.888554
15,13,	0.325466,	0.265225,	0.050597,	0.192864,	1.061155
15,14,	0.320715,	0.254601,	0.050734,	0.182284,	1.016120
15,15,	0.317129,	0.300140,	0.052146,	0.184411,	0.981479
15,16,	0.348183,	0.303979,	0.051874,	0.178802,	1.023291
15,17,	0.331583,	0.343609,	0.095942,	0.182563,	1.065560
15,18,	0.337094,	0.343974,	0.075399,	0.181159,	1.025872
15,19,	0.359598,	0.311982,	0.093055,	0.180469,	1.056779
15,20,	0.346264,	0.241119,	0.052958,	0.180525,	1.063892
15,21,	0.334811,	0.318779,	0.051183,	0.190905,	1.089808
15,22,	0.352168,	0.354721,	0.078431,	0.182101,	1.086181
15,23,	0.353126,	0.272590,	0.063854,	0.206376,	1.173381
