MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
16,11,	2.350008,	0.509934,	0.358848,	3.340483,	7.578186
16,12,	2.452005,	0.382197,	0.431743,	3.401368,	7.442926
16,13,	2.256001,	0.335834,	0.359622,	3.203974,	7.170442
16,14,	2.273081,	0.069945,	0.540896,	3.271215,	7.063488
16,15,	2.292079,	0.266728,	0.390240,	3.226485,	7.058537
16,16,	2.223079,	0.340809,	0.400801,	3.303120,	7.054465
16,17,	2.206136,	0.372598,	0.416527,	3.301213,	7.034443
16,18,	2.233981,	0.355973,	0.360077,	3.355924,	7.117683
16,19,	2.250037,	0.266993,	0.404209,	3.201968,	7.179215
16,20,	2.170165,	0.367652,	0.375360,	3.296683,	6.966269
16,21,	2.142080,	0.383509,	0.381043,	3.174234,	7.029793
16,22,	2.129002,	0.302765,	0.522559,	3.257462,	7.134585
16,23,	2.162177,	0.429983,	0.394652,	3.262468,	7.209885
16,24,	2.176002,	0.525938,	0.370598,	3.262552,	7.089807
17,1,	5.104002,	1.505638,	0.223259,	3.978997,	42.137000
17,2,	4.099005,	0.746929,	0.200602,	3.857064,	16.236386
17,3,	3.436004,	0.591931,	0.195690,	3.975971,	13.778986
17,4,	3.234004,	0.419929,	0.202077,	3.843971,	13.179081	
17,5,	3.087005,	0.388931,	0.199649,	4.000997,	12.770609	
17,6,	3.031003,	0.271999,	0.178516,	4.025999,	12.544020	
17,7,	2.883005,	0.224953,	0.203977,	4.186995,	12.826172	
17,8,	2.823002,	0.403943,	0.200880,	3.895979,	13.009527	
17,9,	2.944033,	0.367907,	0.211739,	3.822968,	12.332214	
17,10,	2.850008,	0.347936,	0.198955,	3.933993,	12.559013	
17,11,	2.809002,	0.300939,	0.179418,	3.912409,	12.344684	
17,12,	2.841829,	0.279995,	0.169783,	4.009997,	12.453398	
17,13,	2.887008,	0.087927,	0.157563,	4.058999,	11.590740	
17,14,	2.626111,	0.230210,	0.218734,	3.868966,	11.696482	
17,15,	2.981016,	0.053021,	0.179455,	3.911965,	11.774393	
17,16,	2.884020,	0.037049,	0.170997,	3.979425,	11.691591	
17,17,	2.837346,	0.109581,	0.179328,	3.934958,	11.723171	
17,18,	2.608181,	0.231794,	0.202435,	4.030968,	11.644834	
17,19,	2.758141,	0.136874,	0.179667,	4.069999,	11.735636	
17,20,	2.608574,	0.206773,	0.157368,	3.978976,	11.787008	
17,21,	2.693741,	0.129384,	0.221023,	3.897446,	11.683535	
17,22,	2.619583,	0.240381,	0.181265,	4.046975,	11.779796	
